timestamp,label,confidence,scores,mask_area,descr
2025-10-29 18:17:33,LowConfidence,0.4612115052799277,"{'Paper': 0.4612115052799277, 'Metal': 0.151411434144257, 'Plastic': 0.23313940227563573}",27028,low_1761742053755.jpg
2025-10-29 18:17:33,LowConfidence,0.47880307382266984,"{'Paper': 0.47880307382266984, 'Metal': 0.16939934765509862, 'Plastic': 0.24382015250141642}",27029,low_1761742053901.jpg
2025-10-29 18:17:33,LowConfidence,0.4829251753573464,"{'Paper': 0.4829251753573464, 'Metal': 0.16334589209153913, 'Plastic': 0.23607408277127664}",27054,low_1761742053932.jpg
2025-10-29 18:17:33,LowConfidence,0.4869967443280238,"{'Paper': 0.4869967443280238, 'Metal': 0.15543592209269289, 'Plastic': 0.23317876468340545}",27043,low_1761742053951.jpg
2025-10-29 18:17:33,LowConfidence,0.48684285594868176,"{'Paper': 0.48684285594868176, 'Metal': 0.1592977631179059, 'Plastic': 0.23221216449508442}",26975,low_1761742053992.jpg
2025-10-29 18:17:34,LowConfidence,0.4875850258421243,"{'Paper': 0.4875850258421243, 'Metal': 0.160060948804686, 'Plastic': 0.2310970639318142}",27061,low_1761742054006.jpg
2025-10-29 18:17:34,LowConfidence,0.4889853327066252,"{'Paper': 0.4889853327066252, 'Metal': 0.15432672154109778, 'Plastic': 0.23052080613245596}",27032,low_1761742054041.jpg
2025-10-29 18:17:34,LowConfidence,0.48861402467652254,"{'Paper': 0.48861402467652254, 'Metal': 0.15612912140698168, 'Plastic': 0.2290660205461112}",27021,low_1761742054075.jpg
2025-10-29 18:17:34,LowConfidence,0.4902597286741587,"{'Paper': 0.4902597286741587, 'Metal': 0.1696482533603989, 'Plastic': 0.2286066645633656}",27035,low_1761742054098.jpg
2025-10-29 18:17:34,LowConfidence,0.4909835931766363,"{'Paper': 0.4909835931766363, 'Metal': 0.16845396252962572, 'Plastic': 0.22854125516038856}",27011,low_1761742054122.jpg
2025-10-29 18:17:34,LowConfidence,0.4909344792697919,"{'Paper': 0.4909344792697919, 'Metal': 0.16844490512040494, 'Plastic': 0.2253211341869835}",27035,low_1761742054155.jpg
2025-10-29 18:17:34,LowConfidence,0.4923835047219612,"{'Paper': 0.4923835047219612, 'Metal': 0.15193354065084202, 'Plastic': 0.22537747106075703}",27097,low_1761742054175.jpg
2025-10-29 18:17:34,LowConfidence,0.4938725062520387,"{'Paper': 0.4938725062520387, 'Metal': 0.158267128488801, 'Plastic': 0.22376569171106522}",27050,low_1761742054209.jpg
2025-10-29 18:17:34,LowConfidence,0.49462509917114905,"{'Paper': 0.49462509917114905, 'Metal': 0.15661310201925657, 'Plastic': 0.22115670529026474}",27023,low_1761742054244.jpg
2025-10-29 18:17:34,LowConfidence,0.4950511659187627,"{'Paper': 0.4950511659187627, 'Metal': 0.14791402231254486, 'Plastic': 0.22213587504783108}",27056,low_1761742054269.jpg
2025-10-29 18:17:34,LowConfidence,0.4934859982121919,"{'Paper': 0.4934859982121919, 'Metal': 0.1703208466106157, 'Plastic': 0.22255081902506413}",27024,low_1761742054310.jpg
2025-10-29 18:17:34,LowConfidence,0.490897766964984,"{'Paper': 0.490897766964984, 'Metal': 0.16614332754250932, 'Plastic': 0.224300257769282}",27080,low_1761742054365.jpg
2025-10-29 18:17:34,LowConfidence,0.4940882249119147,"{'Paper': 0.4940882249119147, 'Metal': 0.1589066696625229, 'Plastic': 0.22402328517588396}",27007,low_1761742054408.jpg
2025-10-29 18:17:34,LowConfidence,0.49274802893705916,"{'Paper': 0.49274802893705916, 'Metal': 0.1554559136756764, 'Plastic': 0.22409873874345057}",26993,low_1761742054421.jpg
2025-10-29 18:17:34,LowConfidence,0.49607467764526003,"{'Paper': 0.49607467764526003, 'Metal': 0.15297932662562663, 'Plastic': 0.22786160415410942}",27033,low_1761742054459.jpg
2025-10-29 18:17:34,LowConfidence,0.4997069368314273,"{'Paper': 0.4997069368314273, 'Metal': 0.15561888782551236, 'Plastic': 0.22866820208951025}",27022,low_1761742054469.jpg
2025-10-29 18:17:38,Paper,0.6196225966074602,"{'Paper': 0.6196225966074602, 'Metal': 0.1463570907900966, 'Plastic': 0.41295127072639704}",23795,live
2025-10-29 18:17:38,Paper,0.6175819635386807,"{'Paper': 0.6175819635386807, 'Metal': 0.14122143174037977, 'Plastic': 0.39672532305890285}",25343,live
2025-10-29 18:17:38,Paper,0.6175819635386807,"{'Paper': 0.6175819635386807, 'Metal': 0.14122143174037977, 'Plastic': 0.39672532305890285}",25343,live
2025-10-29 18:17:38,Paper,0.6170667539466187,"{'Paper': 0.6170667539466187, 'Metal': 0.14030292962821478, 'Plastic': 0.35983838426566406}",27318,live
2025-10-29 18:17:38,Paper,0.6170667539466187,"{'Paper': 0.6170667539466187, 'Metal': 0.14030292962821478, 'Plastic': 0.35983838426566406}",27318,live
2025-10-29 18:17:38,Paper,0.6172806306324713,"{'Paper': 0.6172806306324713, 'Metal': 0.14060493472636115, 'Plastic': 0.34753921776664837}",28794,live
2025-10-29 18:17:38,Paper,0.6159069914036721,"{'Paper': 0.6159069914036721, 'Metal': 0.14146979569449505, 'Plastic': 0.21460566097725223}",29787,live
2025-10-29 18:17:38,Paper,0.6159069914036721,"{'Paper': 0.6159069914036721, 'Metal': 0.14146979569449505, 'Plastic': 0.21460566097725223}",29787,live
2025-10-29 18:17:38,Paper,0.6133105726741295,"{'Paper': 0.6133105726741295, 'Metal': 0.15752086959019151, 'Plastic': 0.21729222807704587}",30342,live
2025-10-29 18:17:38,Paper,0.6133105726741295,"{'Paper': 0.6133105726741295, 'Metal': 0.15752086959019151, 'Plastic': 0.21729222807704587}",30342,live
2025-10-29 18:17:38,Paper,0.6133105726741295,"{'Paper': 0.6133105726741295, 'Metal': 0.15752086959019151, 'Plastic': 0.21729222807704587}",30342,live
2025-10-29 18:17:38,Paper,0.6046325913632696,"{'Paper': 0.6046325913632696, 'Metal': 0.1573086422193195, 'Plastic': 0.22415612855036054}",30766,live
2025-10-29 18:17:38,Paper,0.6046325913632696,"{'Paper': 0.6046325913632696, 'Metal': 0.1573086422193195, 'Plastic': 0.22415612855036054}",30766,live
2025-10-29 18:17:38,Paper,0.5896861325537015,"{'Paper': 0.5896861325537015, 'Metal': 0.1502532858981204, 'Plastic': 0.23584384077632714}",31327,live
2025-10-29 18:17:38,Paper,0.5896861325537015,"{'Paper': 0.5896861325537015, 'Metal': 0.1502532858981204, 'Plastic': 0.23584384077632714}",31327,live
2025-10-29 18:17:38,LowConfidence,0.5370958857328739,"{'Paper': 0.5370958857328739, 'Metal': 0.1551739601722642, 'Plastic': 0.27033549612758856}",32429,low_1761742058713.jpg
2025-10-29 18:17:38,Paper,0.5370958857328739,"{'Paper': 0.5370958857328739, 'Metal': 0.1551739601722642, 'Plastic': 0.27033549612758856}",32429,live
2025-10-29 18:17:38,LowConfidence,0.4792875902136693,"{'Paper': 0.4792875902136693, 'Metal': 0.14971483822650514, 'Plastic': 0.3922592675404339}",32548,low_1761742058765.jpg
2025-10-29 18:17:38,Paper,0.4792875902136693,"{'Paper': 0.4792875902136693, 'Metal': 0.14971483822650514, 'Plastic': 0.3922592675404339}",32548,live
2025-10-29 18:17:38,LowConfidence,0.4792875902136693,"{'Paper': 0.4792875902136693, 'Metal': 0.14971483822650514, 'Plastic': 0.3922592675404339}",32548,low_1761742058811.jpg
2025-10-29 18:17:38,LowConfidence,0.47478824638971096,"{'Paper': 0.47478824638971096, 'Metal': 0.14712296048531823, 'Plastic': 0.4438961577817193}",32516,low_1761742058840.jpg
2025-10-29 18:17:38,LowConfidence,0.4768178386859986,"{'Paper': 0.47333887353842846, 'Metal': 0.15446648390113096, 'Plastic': 0.4768178386859986}",32402,low_1761742058868.jpg
2025-10-29 18:17:38,LowConfidence,0.47280506541031997,"{'Paper': 0.47280506541031997, 'Metal': 0.1490295091246031, 'Plastic': 0.4210743735553081}",32138,low_1761742058895.jpg
2025-10-29 18:17:38,LowConfidence,0.46941214489218486,"{'Paper': 0.4679785862716802, 'Metal': 0.15134255002236557, 'Plastic': 0.46941214489218486}",31874,low_1761742058918.jpg
2025-10-29 18:17:38,LowConfidence,0.4999509270214984,"{'Paper': 0.4668092437329049, 'Metal': 0.14950090213856324, 'Plastic': 0.4999509270214984}",31628,low_1761742058942.jpg
2025-10-29 18:17:38,LowConfidence,0.48324868746954486,"{'Paper': 0.4637843123518236, 'Metal': 0.15340051934546872, 'Plastic': 0.48324868746954486}",31403,low_1761742058964.jpg
2025-10-29 18:17:38,LowConfidence,0.4672260988454656,"{'Paper': 0.4672260988454656, 'Metal': 0.15559330115100217, 'Plastic': 0.44708685718501917}",31178,low_1761742058985.jpg
2025-10-29 18:17:39,LowConfidence,0.47066534521931425,"{'Paper': 0.47066534521931425, 'Metal': 0.15001068832509967, 'Plastic': 0.4432137805856475}",31172,low_1761742059021.jpg
2025-10-29 18:17:39,LowConfidence,0.4719115568347626,"{'Paper': 0.4719115568347626, 'Metal': 0.1468036396882151, 'Plastic': 0.45520389909170605}",31392,low_1761742059053.jpg
2025-10-29 18:17:41,LowConfidence,0.48344351767646215,"{'Paper': 0.24000000000000005, 'Metal': 0.018561508348717063, 'Plastic': 0.48344351767646215}",60284,low_1761742061075.jpg
2025-10-29 18:17:41,LowConfidence,0.49881607530127214,"{'Paper': 0.49881607530127214, 'Metal': 0.15320450739851635, 'Plastic': 0.21765542066313412}",35080,low_1761742061105.jpg
2025-10-29 18:17:41,LowConfidence,0.49906131564905876,"{'Paper': 0.49906131564905876, 'Metal': 0.15242362537768753, 'Plastic': 0.21745313263654423}",34984,low_1761742061132.jpg
2025-10-29 18:17:41,LowConfidence,0.49682076728384617,"{'Paper': 0.49682076728384617, 'Metal': 0.15345833565577205, 'Plastic': 0.2165320881282284}",35071,low_1761742061151.jpg
2025-10-29 18:17:41,LowConfidence,0.4998164480647674,"{'Paper': 0.4998164480647674, 'Metal': 0.15267182000807064, 'Plastic': 0.21656236129232317}",35031,low_1761742061180.jpg
2025-10-29 18:17:41,LowConfidence,0.4984516962473922,"{'Paper': 0.4984516962473922, 'Metal': 0.1544062605800539, 'Plastic': 0.21684968777302}",34989,low_1761742061203.jpg
2025-10-29 18:17:41,LowConfidence,0.49658422142286585,"{'Paper': 0.49658422142286585, 'Metal': 0.15213107197227282, 'Plastic': 0.2177623302983646}",34881,low_1761742061226.jpg
2025-10-29 18:17:41,LowConfidence,0.4986132365658863,"{'Paper': 0.4986132365658863, 'Metal': 0.1542233940598483, 'Plastic': 0.21906311928057473}",34690,low_1761742061255.jpg
2025-10-29 18:17:41,LowConfidence,0.4968098777187929,"{'Paper': 0.4968098777187929, 'Metal': 0.15304412450149707, 'Plastic': 0.21774316525477047}",34594,low_1761742061273.jpg
2025-10-29 18:17:41,LowConfidence,0.49676421809572735,"{'Paper': 0.49676421809572735, 'Metal': 0.15487451531061736, 'Plastic': 0.21669785915869846}",34586,low_1761742061301.jpg
2025-10-29 18:17:41,LowConfidence,0.4986640045051963,"{'Paper': 0.4986640045051963, 'Metal': 0.15296443252551345, 'Plastic': 0.2174177488808114}",34470,low_1761742061326.jpg
